asset_class_path,asset_count,blueprint_count,generated_class_known,parent_class_known,native_parent_class_known,confirmed_identity_count,open_identity_count
/Game/Effects/Blueprints/BP_mist_Lit_still.BP_mist_Lit_still_C,70,0,0,0,0,0,0
/Game/Genesis/Missions/Hunt/MissionServerSidePoint_HuntSpawnLocation.MissionServerSidePoint_HuntSpawnLocation_C,69,0,0,0,0,0,0
/Script/Engine.FontFace,69,0,0,0,0,0,0
/Script/Engine.MaterialFunctionMaterialLayer,69,0,0,0,0,0,0
/Script/ShooterGame.PrimalCameraProbeActor,69,0,0,0,0,0,0
/Game/PrimalEarth/Sound/AmbientSoundActors/SnowForestAmbientSound_Blueprint.SnowForestAmbientSound_Blueprint_C,66,0,0,0,0,0,0
/Script/ShooterGame.MissionServerSidePoint,65,0,0,0,0,0,0
/Game/ASA/Blueprints/LightingTools/DynamicTOD/BP_DynamicSkylightGeo.BP_DynamicSkylightGeo_C,63,0,0,0,0,0,0
/Script/Engine.DataLayerAsset,62,0,0,0,0,0,0
/Script/Engine.Font,61,0,0,0,0,0,0
/Script/ShooterGame.TogglePainVolume,61,0,0,0,0,0,0
/Game/Genesis/Missions/GauntletWaves/MIssionTrigger_WeaponPowerup.MissionTrigger_WeaponPowerup_C,60,0,0,0,0,0,0
/Script/Engine.HLODLayer,55,0,0,0,0,0,0
/Game/ASA/Blueprints/Water/Mesh/BP_WaterPlane_ASA_FogCube_Cave.BP_WaterPlane_ASA_FogCube_Cave_C,54,0,0,0,0,0,0
/Game/ASA/Environment/TheIsland/MergedMeshes/UnderWater/BPP_Canyon_01.BPP_Canyon_01_C,52,0,0,0,0,0,0
/Game/PrimalEarth/Sound/AmbientSoundActors/JungleAmbientSound_Blueprint_Small.JungleAmbientSound_Blueprint_Small_C,52,0,0,0,0,0,0
/Game/WeatherSystem/WeatherPresets/BP_WeatherPreset_Base.BP_WeatherPreset_Base_C,52,0,0,0,0,0,0
/Script/Engine.ExponentialHeightFog,52,0,0,0,0,0,0
/Game/Genesis/CoreBlueprints/Environment/Hazards/Slides/HazardTrigger_Avalanche.HazardTrigger_Avalanche_C,51,0,0,0,0,0,0
/Script/Blutility.EditorUtilityWidgetBlueprint,51,51,51,51,51,0,0
/Game/PrimalEarth/Sound/AmbientSoundActors/SwampAmbientSound_Blueprint.SwampAmbientSound_Blueprint_C,50,0,0,0,0,0,0
/Script/Landscape.Landscape,49,0,0,0,0,0,0
/Game/ASA/Environment/TheIsland/MergedMeshes/UnderWater/BPP_Rock_Formation_03.BPP_Rock_Formation_03_C,48,0,0,0,0,0,0
/Script/FoliageEdit.FoliageSelectOverrides,48,0,0,0,0,0,0
/Game/Genesis/Missions/MissionDispatcher_MultiUsePylon.MissionDispatcher_MultiUsePylon_C,46,0,0,0,0,0,0
/Script/Engine.SoundClass,46,0,0,0,0,0,0
/Game/ASA/Blueprints/Water_DA/Presets/BC_WaterPreset.BC_WaterPreset_C,45,0,0,0,0,0,0
/Game/UltraDynamicSky/Blueprints/Weather_Effects/System/UDS_Weather_Settings.UDS_Weather_Settings_C,45,0,0,0,0,0,0
/Script/MetasoundEngine.MetaSoundSource,45,0,0,0,0,0,0
/Script/Engine.BlendSpace1D,43,0,0,0,0,0,0
/Script/Engine.TextureRenderTargetVolume,43,0,0,0,0,0,0
/Script/LevelSequence.LevelSequenceActor,42,0,0,0,0,0,0
/Script/Engine.VolumeTexture,41,0,0,0,0,0,0
/Game/ASA/Blueprints/Water/Mesh/BP_WaterPlane_ASA_FogCube.BP_WaterPlane_ASA_FogCube_C,40,0,0,0,0,0,0
/Game/ASA/Blueprints/Water/PP/BP_WaterPostProcess_ASA.BP_WaterPostProcess_ASA_C,40,0,0,0,0,0,0
/Game/ASA/Environment/TheIsland/MergedMeshes/UnderWater/BPP_Rock_Formation_04.BPP_Rock_Formation_04_C,40,0,0,0,0,0,0
/Game/ASA/Blueprints/Water/PP/BP_WaterPostProcess_ASA_Cave.BP_WaterPostProcess_ASA_Cave_C,39,0,0,0,0,0,0
/Game/PrimalEarth/Effects/Blueprints/BP_ElementalDisturbance_NoEnablingActor_Column.BP_ElementalDisturbance_NoEnablingActor_Column_C,39,0,0,0,0,0,0
/Script/Engine.SoundAttenuation,39,0,0,0,0,0,0
/Script/ShooterGame.VRBattleGroupDataAsset,39,0,0,0,0,0,0
/Game/ASA/Environment/TheIsland/MergedMeshes/UnderWater/BPP_Rock_Formation_02.BPP_Rock_Formation_02_C,38,0,0,0,0,0,0
/Game/ASA/Blueprints/LightingTools/DynamicTOD/BP_DynamicPointLight.BP_DynamicPointLight_C,37,0,0,0,0,0,0
/Game/ASA/Environment/TheIsland/MergedMeshes/UnderWater/BPP_Canyon_03.BPP_Canyon_03_C,37,0,0,0,0,0,0
/Game/PrimalEarth/Sound/AmbientSoundActors/BeachAmbientSound_Blueprint_Small.BeachAmbientSound_Blueprint_Small_C,37,0,0,0,0,0,0
/Game/Waterline/8_Ocean_Shore/BP_Shore_Manager_Gen4_ASA_IslandCapture.BP_Shore_Manager_Gen4_ASA_IslandCapture_C,37,0,0,0,0,0,0
/Script/Engine.CurveLinearColorAtlas,37,0,0,0,0,0,0
/Script/Engine.InterpData,36,0,0,0,0,0,0
/Script/Engine.VectorFieldStatic,36,0,0,0,0,0,0
/Script/PhysicsCore.PhysicalMaterial,36,0,0,0,0,0,0
/DinoDefense/2DPlatformer/SimpleAICharacter_2DPlatformer.SimpleAICharacter_2DPlatformer_C,35,0,0,0,0,0,0
/Game/Genesis/Environment/Bog/TreeRocks/TreeTrunkLightEmbedded/BP_TreeTrunk_Med_A_low.BP_TreeTrunk_Med_A_low_C,33,0,0,0,0,0,0
/Game/Genesis/Environment/Shared/Landscape/Ocean/OceanIslandDataLUT/BPU_OceanIslandDataBaker.BPU_OceanIslandDataBaker_C,33,0,0,0,0,0,0
/Game/PrimalEarth/Utilities/ScaleTool/EUA_ScaleTool.EUA_ScaleTool_C,33,0,0,0,0,0,0
/Script/Engine.ReverbEffect,33,0,0,0,0,0,0
/Game/ASA/Environment/TheIsland/MergedMeshes/UnderWater/BPP_Canyon_04.BPP_Canyon_04_C,32,0,0,0,0,0,0
/DinoDefense/2DPlatformer/Environment/Fracture_Meshes/DestructibleStructures/BPStructure_Steamboat_Willie_Barrel.BPStructure_Steamboat_Willie_Barrel_C,31,0,0,0,0,0,0
/Game/Genesis/Environment/Bog/TreeRocks/GiantBranches/Instances/BPP_GiantBranch_B.BPP_GiantBranch_B_C,31,0,0,0,0,0,0
/Game/PrimalEarth/CoreBlueprints/ExplorerChest/ExplorerChest_Li.ExplorerChest_Li_C,31,0,0,0,0,0,0
/Script/Engine.MaterialFunctionMaterialLayerBlend,31,0,0,0,0,0,0
/Game/ASA/Blueprints/LightingTools/BP_IceCavePointLight.BP_IceCavePointLight_C,30,0,0,0,0,0,0
/Game/ASA/Environment/TheIsland/Caves/LevelInstances/BPP_LightHoleRocks_EmissiveFlipped.BPP_LightHoleRocks_EmissiveFlipped_C,30,0,0,0,0,0,0
